brand,model,model_year,mileage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,age,mileage_per_year,engine_liters
Lexus,RX 450h Base,2022.0,15833.0,Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Beige,False,True,52000.0,3.0,5277.666666666667,3.5
BMW,328 i xDrive,2013.0,96000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,False,True,13500.0,12.0,8000.0,2.0
BMW,135 i,2009.0,72900.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,False,True,15500.0,16.0,4556.25,3.0
BMW,X7 M50i,2021.0,7121.0,Gasoline,4.4 Liter Twin Turbo,Automatic,Gray,Black,False,False,94998.0,4.0,1780.25,4.4
Hyundai,Tucson Hybrid SEL Convenience,2023.0,3402.0,Hybrid,226.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Black,False,True,44000.0,2.0,1701.0,1.6
Volvo,C30 T5 Premier Plus,2013.0,73000.0,Gasoline,227.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,False,True,13900.0,12.0,6083.333333333333,2.5
Karma,Revero Base,2018.0,21000.0,,403.0HP 2.0L Electric Motor Electric Fuel System,A/T,White,Black,False,True,51000.0,7.0,3000.0,2.0
BMW,X7 xDrive40i,2021.0,30309.0,Hybrid,3.0 Liter Turbo,Automatic,Blue,Tan,False,False,63598.0,4.0,7577.25,3.0
Ford,Mustang Mach-E California Route 1,2021.0,24000.0,,290.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Black,False,True,38000.0,4.0,6000.0,
BMW,740 i,2016.0,73000.0,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,False,True,23999.0,9.0,8111.111111111111,3.0
Ford,Edge SEL,2019.0,26465.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,White Platinum Tri-Coat Metallic,Ebony,False,False,24998.0,6.0,4410.833333333333,2.0
Volkswagen,Arteon 2.0T SEL Premium R-Line,2020.0,26870.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Deep Black Pearl Effect,Mistral Gray / Raven,False,True,34645.0,5.0,5374.0,2.0
Honda,Pilot EX,2004.0,184000.0,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,False,True,10500.0,21.0,8761.904761904761,3.5
BMW,X7 ALPINA XB7,2022.0,4514.0,Gasoline,4.4 Liter Twin Turbo,Automatic,Gray,Black,False,False,132998.0,3.0,1504.6666666666667,4.4
RAM,2500 Tradesman,2022.0,1300.0,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,False,True,48000.0,3.0,433.3333333333333,6.4
Jeep,Grand Cherokee Limited,2018.0,49924.0,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,False,True,26500.0,7.0,7132.0,3.6
GMC,Yukon Denali,2019.0,36526.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Black,False,True,57850.0,6.0,6087.666666666667,6.2
BMW,M6 Base,2015.0,37000.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Silver,False,True,45950.0,10.0,3700.0,4.4
Acura,MDX 3.5L w/Advance & Entertainment Pkgs,2017.0,79884.0,Gasoline,3.5L V6 24V GDI SOHC,9-Speed Automatic,Gray,Graystone,False,False,24840.0,8.0,9985.5,3.5
Volkswagen,Beetle 1.8T,2016.0,30000.0,Gasoline,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,False,True,19000.0,9.0,3333.3333333333335,1.8
BMW,X6 M Base,2021.0,11102.0,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,False,True,101000.0,4.0,2775.5,4.4
Ford,Mustang GT Premium,2012.0,105500.0,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,False,True,19000.0,13.0,8115.384615384615,5.0
BMW,X7 xDrive50i,2019.0,31157.0,Gasoline,4.4 Liter GDI DOHC Twin Turbo,Automatic,Black,Blk,False,False,65998.0,6.0,5192.833333333333,4.4
Kia,Sorento LX V6,2019.0,86204.0,Gasoline,3.3L V6 24V GDI DOHC,8-Speed Automatic,Sparkling Silver,Satin Black,False,False,20708.0,6.0,14367.333333333334,3.3
BMW,435 i,2014.0,80211.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Gray,Red,False,True,17995.0,11.0,7291.909090909091,3.0
Aston,Martin V8 Vantage Base,2010.0,25991.0,Gasoline,420.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,False,True,69995.0,15.0,1732.7333333333333,4.7
Mercedes-Benz,CLK-Class CLK 350,2008.0,73000.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,False,True,8400.0,17.0,4294.117647058823,3.5
BMW,740 i,2018.0,40989.0,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Gold,False,True,35000.0,7.0,5855.571428571428,3.0
Dodge,Caliber Express,2010.0,102681.0,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Red,Black,False,True,6000.0,15.0,6845.4,2.0
Acura,ZDX Base,2010.0,123000.0,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,False,True,13888.0,15.0,8200.0,3.7
Jeep,Wrangler X,2005.0,160900.0,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,–,False,True,7200.0,20.0,8045.0,4.0
BMW,M3 Base,2011.0,105000.0,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,False,True,21900.0,14.0,7500.0,4.0
Kia,Sportage Plug-In Hybrid X-Line,2023.0,1340.0,Plug-In Hybrid,177.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Black,Black,False,True,41000.0,2.0,670.0,1.6
Ford,Mustang Mach-E Premium,2021.0,17850.0,,266.0HP Electric Motor Electric Fuel System,A/T,Red,Black,False,True,41999.0,4.0,4462.5,
BMW,M3 Base,2011.0,72277.0,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,False,True,34950.0,14.0,5162.642857142857,4.0
Jeep,Wrangler Rubicon,2023.0,7000.0,Hybrid,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Black,False,True,46000.0,2.0,3500.0,3.6
Porsche,Panamera 4 Platinum Edition,2022.0,10627.0,Gasoline,"2.9L V-6 gasoline direct injection, DOHC, variable valve control","Automatic, 8-Spd PDK Dual-Clutch",Chalk,BLACK,False,False,99000.0,3.0,3542.3333333333335,2.9
Ford,Explorer XLT,2020.0,67015.0,Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Oxford White,Sandstone,False,False,28590.0,5.0,13403.0,2.3
BMW,M4 Base,2018.0,19600.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,False,True,62000.0,7.0,2800.0,3.0
Ford,Mustang Mach-E Premium,2022.0,5800.0,,346.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,White,False,True,42500.0,3.0,1933.3333333333333,
FIAT,500e Battery Electric,2017.0,33812.0,,111.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,Black,False,True,14999.0,8.0,4226.5,
Cadillac,Escalade Luxury,2015.0,99897.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,False,True,26950.0,10.0,9989.7,6.2
Mercedes-Benz,SL-Class SL 550,2014.0,127500.0,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,False,True,29000.0,11.0,11590.90909090909,4.7
Ford,Expedition Limited,2021.0,23842.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Medium Stone,False,True,59203.0,4.0,5960.5,3.5
Rivian,R1S Adventure Package,2023.0,2108.0,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,White,False,True,91000.0,2.0,1054.0,
BMW,M6 Base,2014.0,65550.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,False,True,39985.0,11.0,5959.090909090909,4.4
Lamborghini,Huracan LP580-2,2017.0,22000.0,Gasoline,573.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,False,True,210000.0,8.0,2750.0,5.2
Ford,Bronco Wildtrak Advanced,2022.0,15600.0,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,–,False,True,68995.0,3.0,5200.0,2.7
Lexus,LC 500 Base,2021.0,22400.0,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Red,False,True,81900.0,4.0,5600.0,5.0
Lexus,LS 460 Crafted Line,2015.0,89150.0,Gasoline,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,False,True,31900.0,10.0,8915.0,4.6
BMW,M4 Base,2023.0,15000.0,Gasoline,"3L I-6 gasoline direct injection, DOHC, Double VANOS variable va","Automatic, 8-Spd M STEPTRONIC w/Drivelogic, Sport & Manual Modes",BLUE,ORANGE,False,False,81000.0,2.0,7500.0,3.0
Audi,A3 2.0T Tech Premium,2018.0,49500.0,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Gray,False,True,25000.0,7.0,7071.428571428572,2.0
Audi,S8 4.2 quattro,2003.0,126000.0,Gasoline,360.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,False,False,13850.0,22.0,5727.272727272727,4.2
Volkswagen,Golf GTI 2.0T Autobahn 4-Door,2015.0,85385.0,Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,False,True,15550.0,10.0,8538.5,2.0
Cadillac,Escalade Sport,2023.0,3000.0,Diesel,277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,A/T,White,Brown,False,True,123999.0,2.0,1500.0,3.0
Hyundai,Tucson SE,2018.0,66126.0,Gasoline,2.0L I4 16V GDI DOHC,6-Speed Automatic,Dazzling White,Gray,False,False,19190.0,7.0,9446.57142857143,2.0
Toyota,GR86 Premium,2023.0,1075.0,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,False,True,35000.0,2.0,537.5,2.4
Ford,Bronco Raptor,2023.0,2489.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,10-Speed Automatic,Oxford White,Black Onyx,False,False,98900.0,2.0,1244.5,3.0
Hyundai,Santa Fe SEL,2021.0,25000.0,Gasoline,191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Gray,False,True,28500.0,4.0,6250.0,2.5
Nissan,Armada Platinum,2017.0,92000.0,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,False,True,20900.0,8.0,11500.0,5.6
Lexus,GX 470 Base,2008.0,123500.0,Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,False,True,14500.0,17.0,7264.705882352941,4.7
Cadillac,CTS Premium,2013.0,105000.0,Gasoline,318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,False,True,12000.0,12.0,8750.0,3.6
Audi,R8 Base,2008.0,49000.0,Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,False,True,63000.0,17.0,2882.3529411764707,4.2
Jaguar,F-PACE S,2020.0,28357.0,Gasoline,3.0 Liter,Automatic,Santorini Black Metallic,Pimento Red w/Ebony,False,False,47598.0,5.0,5671.4,3.0
Chevrolet,Silverado 1500 1LT,2018.0,81000.0,E85 Flex Fuel,285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability,A/T,Red,Gray,False,True,32000.0,7.0,11571.42857142857,4.3
Ford,Expedition Limited,2021.0,45000.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,False,True,52000.0,4.0,11250.0,3.5
Toyota,Sequoia Platinum,2011.0,173456.0,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Gray,False,True,16000.0,14.0,12389.714285714286,5.7
BMW,M440 i,2021.0,13700.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Beige,False,False,60000.0,4.0,3425.0,3.0
Audi,A8 L 55,2019.0,93400.0,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Silver,Brown,False,True,42500.0,6.0,15566.666666666666,3.0
Toyota,Avalon XLE,2015.0,90000.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,False,True,18200.0,10.0,9000.0,3.5
Porsche,Macan Base,2017.0,40600.0,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,False,True,32000.0,8.0,5075.0,2.0
Lexus,IS 350 F Sport,2023.0,20121.0,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,False,True,47124.0,2.0,10060.5,3.5
Mercedes-Benz,Metris Base,2020.0,3921.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic,Black,White,False,True,175000.0,5.0,784.2,2.0
Lexus,RX 350 Base,2011.0,187450.0,Gasoline,275.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,False,True,10400.0,14.0,13389.285714285714,3.5
Toyota,Supra A91 Edition,2021.0,6400.0,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,False,True,68000.0,4.0,1600.0,3.0
Mercedes-Benz,AMG C 43 Base 4MATIC,2017.0,54500.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,False,True,37995.0,8.0,6812.5,3.0
BMW,X6 xDrive50i,2017.0,78500.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Brown,False,True,42000.0,8.0,9812.5,4.4
Chevrolet,Tahoe LT,2018.0,75000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,False,True,36000.0,7.0,10714.285714285714,5.3
Ford,F-150 SVT Raptor,2014.0,89988.0,Gasoline,411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Red,False,True,42500.0,11.0,8180.727272727273,6.2
Subaru,Outback 3.0 R VDC Limited,2005.0,107000.0,Gasoline,250.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,False,True,7100.0,20.0,5350.0,3.0
Alfa,Romeo Giulia Ti,2019.0,21400.0,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,False,True,28500.0,6.0,3566.6666666666665,2.0
Mazda,CX-7 Grand Touring,2007.0,83150.0,Gasoline,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,False,True,6950.0,18.0,4619.444444444444,2.3
Ford,F-150 Platinum,2018.0,92000.0,Diesel,250.0HP 3.0L V6 Cylinder Engine Diesel Fuel,10-Speed A/T,Black,Black,False,True,36500.0,7.0,13142.857142857143,3.0
Mercedes-Benz,GLE 350 Base 4MATIC,2021.0,15042.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Selenite Gray Metallic,Macchiato,False,False,54599.0,4.0,3760.5,2.0
Audi,A7 3.0T Premium Plus,2017.0,39000.0,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,False,True,35000.0,8.0,4875.0,3.0
RAM,2500 Laramie,2017.0,67483.0,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,Beige,False,True,46500.0,8.0,8435.375,6.4
Tesla,Model S 70D,2015.0,62089.0,,329.0HP Electric Motor Electric Fuel System,A/T,Black,Beige,False,True,29975.0,10.0,6208.9,
Audi,S8 4.0T Plus,2017.0,54300.0,Gasoline,605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,False,True,53500.0,8.0,6787.5,4.0
Hyundai,Sonata Hybrid Limited,2022.0,30565.0,Hybrid,192.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Gray,Black,False,True,29000.0,3.0,10188.333333333334,2.0
Audi,A8 L 4.0T,2016.0,142666.0,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,False,True,22000.0,9.0,15851.777777777777,4.0
Ford,Ranger Sport SuperCab,2009.0,166200.0,Gasoline,207.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,False,True,6999.0,16.0,10387.5,4.0
INFINITI,Q50 Hybrid Premium,2015.0,88977.0,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Gray,Black,False,True,19977.0,10.0,8897.7,3.5
BMW,M3 Base,2011.0,114890.0,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,False,True,20990.0,14.0,8206.42857142857,4.0
Mercedes-Benz,E-Class E 350 4MATIC,2009.0,171000.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,False,True,4750.0,16.0,10687.5,3.5
Ford,Explorer sport,2019.0,90067.0,Gasoline,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,Black,Ebony Black,False,False,28590.0,6.0,15011.166666666666,3.5
Chevrolet,Camaro 1LT,2014.0,97579.0,Gasoline,323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,False,True,15000.0,11.0,8870.818181818182,3.6
Mazda,MX-5 Miata RF Grand Touring,2017.0,52000.0,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,False,True,20500.0,8.0,6500.0,2.0
Jeep,Grand Cherokee L Limited,2021.0,25968.0,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Metallic,Global Black,False,False,38405.0,4.0,6492.0,3.6
MINI,Hardtop Cooper S,2016.0,41680.0,Gasoline,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,False,True,17495.0,9.0,4631.111111111111,2.0
Saab,9-3 SE,2002.0,77200.0,Gasoline,205.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Beige,False,True,7500.0,23.0,3356.521739130435,2.0
BMW,X5 xDrive40i,2019.0,50000.0,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Gold,False,True,43000.0,6.0,8333.333333333334,3.0
Porsche,Macan,2021.0,21613.0,Gasoline,2.0 Liter,Automatic,White,–,False,False,58998.0,4.0,5403.25,2.0
Audi,Q3 S line Premium Plus,2022.0,17377.0,Gasoline,2.0 Liter TFSI,Automatic,Glacier White,Pearl Beige,False,False,39998.0,3.0,5792.333333333333,2.0
GMC,Acadia SLE,2020.0,30426.0,Gasoline,2.5L I4 16V GDI DOHC,9-Speed Automatic,Ebony Twilight Metallic,Jet Black,False,False,29645.0,5.0,6085.2,2.5
Audi,allroad 2.7T,2005.0,153000.0,Gasoline,250.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,M/T,Blue,Blue,False,True,6500.0,20.0,7650.0,2.7
Mercury,Marauder Base,2004.0,56600.0,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,Silver,Black,False,True,23000.0,21.0,2695.2380952380954,4.6
Hyundai,Genesis 3.8,2015.0,116612.0,Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,False,True,12700.0,10.0,11661.2,3.8
Audi,SQ5 3.0T Premium Plus,2018.0,72000.0,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,False,True,30000.0,7.0,10285.714285714286,3.0
Audi,A8 L 55,2019.0,39000.0,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Brown,False,True,50000.0,6.0,6500.0,3.0
Lincoln,Navigator Base,2008.0,149000.0,Gasoline,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,False,True,10099.0,17.0,8764.70588235294,5.4
BMW,M4 Base,2018.0,19300.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Silver,False,True,64000.0,7.0,2757.1428571428573,3.0
Mazda,CX-9 Carbon Edition,2021.0,27836.0,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Polymetal Gray Metallic,Red,False,True,36969.0,4.0,6959.0,2.5
Chevrolet,Corvette Stingray w/1LT,2023.0,3273.0,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,False,True,78999.0,2.0,1636.5,6.2
Ford,F-150 Lariat,2017.0,74349.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,–,False,True,36000.0,8.0,9293.625,3.5
Ford,F-250 Lariat,2019.0,85000.0,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Black,False,True,55000.0,6.0,14166.666666666666,6.7
Ferrari,Roma Base,2022.0,2250.0,Gasoline,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Blue,False,True,259500.0,3.0,750.0,3.9
Mercedes-Benz,GLS 450 Base 4MATIC,2017.0,46100.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Beige,False,True,33000.0,8.0,5762.5,3.0
Hyundai,Santa Fe SEL Plus 2.4,2019.0,49500.0,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Gray,False,True,28000.0,6.0,8250.0,2.4
Mercedes-Benz,E-Class E 350,2012.0,31130.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,False,True,23500.0,13.0,2394.6153846153848,3.5
Ford,F-250 XLT SuperCab Super Duty,2008.0,149460.0,Diesel,350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,A/T,Blue,Gray,False,True,12240.0,17.0,8791.764705882353,6.4
Mercury,Marauder Base,2003.0,90000.0,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Blue,Beige,False,True,15500.0,22.0,4090.909090909091,4.6
Ford,Transit-350 XLT,2021.0,48000.0,E85 Flex Fuel,275.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,False,True,57000.0,4.0,12000.0,3.5
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013.0,98000.0,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,False,True,15500.0,12.0,8166.666666666667,3.5
Volkswagen,Arteon SEL R-Line,2022.0,18655.0,Gasoline,2.0 Liter TSI,Automatic,Oryx White Prl,Titan Black,False,False,38698.0,3.0,6218.333333333333,2.0
Chevrolet,Suburban 2500 LS,2006.0,60000.0,Gasoline,325.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,Brown,False,True,24950.0,19.0,3157.8947368421054,8.1
Chevrolet,Suburban 1500 LT,2014.0,169500.0,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Purple,Brown,False,True,15000.0,11.0,15409.09090909091,5.3
Mitsubishi,Eclipse GS,2008.0,189500.0,Gasoline,162.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,False,True,6000.0,17.0,11147.058823529413,2.4
Toyota,Land Cruiser Base,2016.0,91000.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,False,True,68500.0,9.0,10111.111111111111,5.7
Genesis,G80 2.5T,2022.0,7396.0,Gasoline,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,Black Forest Green,Black,False,False,41299.0,3.0,2465.3333333333335,2.5
Toyota,Tundra SR5 Access Cab,2004.0,229450.0,Gasoline,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,False,True,8250.0,21.0,10926.190476190477,4.7
Maserati,Quattroporte Modena Q4,2023.0,8603.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Blu,Tan,False,False,125900.0,2.0,4301.5,3.0
Audi,RS 5 4.2,2014.0,49098.0,Gasoline,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,False,True,44900.0,11.0,4463.454545454545,4.2
Nissan,Rogue S,2022.0,21212.0,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Gun Metallic,Charcoal,False,False,28906.0,3.0,7070.666666666667,1.5
Porsche,Panamera 4S,2010.0,62743.0,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Gray,False,True,28600.0,15.0,4182.866666666667,4.8
BMW,M440 i xDrive,2021.0,24300.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Beige,False,True,49999.0,4.0,6075.0,3.0
Cadillac,Escalade Premium,2010.0,104000.0,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,–,False,True,19500.0,15.0,6933.333333333333,6.2
Volvo,S60 T6 Momentum,2020.0,46250.0,Gasoline,2.0L I4 16V GDI DOHC,8-Speed Automatic,White,Charcoal,False,True,27800.0,5.0,9250.0,2.0
Mazda,CX-9 Touring Plus,2023.0,1930.0,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Jet Black Mica,Black,False,True,40655.0,2.0,965.0,2.5
Chrysler,Pacifica Hybrid Touring L,2022.0,61494.0,Hybrid,3.6L V6 24V MPFI DOHC Hybrid,Automatic CVT,Bright White Clearcoat,Black,False,False,35850.0,3.0,20498.0,3.6
